cricos_provider_code,trading_name,institution_name,institution_type,website,,,,,,,,,,,,,,
00129E,Ballarat Grammar,Ballarat and Queen's Anglican Grammar School,Private,www.bgs.vic.edu.au,,,,,,,,,,,,,,
00131M,Billanook College,Billanook College Limited,Private,www.billanook.vic.edu.au,,,,,,,,,,,,,,
00132K,Brighton Grammar School,Brighton Grammar School,Private,http://www.brightongrammar.vic.edu.au/,,,,,,,,,,,,,,
00134G,The Camberwell Grammar School,The Camberwell Grammar School,Private,http://www.cgs.vic.edu.au/,,,,,,,,,,,,,,
00135G,Carey Baptist Grammar School,Carey Baptist Grammar School Limited,Private,www.carey.com.au,,,,,,,,,,,,,,
00136F,Caulfield Grammar School,Caulfield Grammar School,Private,http://www.caulfieldgs.vic.edu.au/,,,,,,,,,,,,,,
00138D,Eltham College,Eltham College,Private,http://www.elthamcollege.vic.edu.au/,,,,,,,,,,,,,,
00139C,Fintona Girls School,Fintona Girls School,Private,http://www.fintona.vic.edu.au/,,,,,,,,,,,,,,
00140K,Firbank Grammar,Firbank Grammar School,Private,www.firbank.vic.edu.au,,,,,,,,,,,,,,
00141J,Camberwell Girls' Grammar School,Camberwell Anglican Girls' Grammar School,Private,www.cggs.vic.edu.au,,,,,,,,,,,,,,
00142G,The Geelong College,The Geelong College,Private,http://www.geelongcollege.vic.edu.au/,,,,,,,,,,,,,,
00143G,Geelong Grammar School,Geelong Grammar School,Private,www.ggs.vic.edu.au,,,,,,,,,,,,,,
00144F,The Hamilton and Alexandra College,The Hamilton and Alexandra College,Private,http://www.hamiltoncollege.vic.edu.au/,,,,,,,,,,,,,,
00145E,Huntingtower School,Huntingtower School Association,Private,http://www.huntingtower.vic.edu.au/,,,,,,,,,,,,,,
00147C,Ivanhoe Grammar School,The Ivanhoe Grammar School,Private,http://www.ivanhoe.com.au,,,,,,,,,,,,,,
00149A,Kilvington Grammar School,Kilvington Grammar School Limited,Private,http://www.kilvington.vic.edu.au/,,,,,,,,,,,,,,
00150G,Kingswood College,Kingswood College Limited,Private,www.kingswoodcollege.vic.edu.au,,,,,,,,,,,,,,
00151G,The Knox School,The Knox School Limited,Private,http://www.knox.vic.edu.au/,,,,,,,,,,,,,,
00152F,Lauriston Girls' School,Lauriston Girls' School,Private,http://lauriston.vic.edu.au/,,,,,,,,,,,,,,
00172B,Mercury Colleges Pty Ltd,Mercury Colleges Pty. Limited,Private,www.mercurycolleges.nsw.edu.au,,,,,,,,,,,,,,
00181A,"The Sydney Business & Travel Academy, Sydney English Language Academy",Lan-Grove Office Training Centre Pty Ltd,Private,www.sbta.com.au,,,,,,,,,,,,,,
00202A,"Cairns Business College Limited, Cairns College of Education",Cairns Business College Limited,Private,www.cbcaustralia.com,,,,,,,,,,,,,,
00219C,Central Queensland University,Central Queensland University,Government,www.cqu.edu.au,,,,,,,,,,,,,,
00231G,"Endeavour College of Natural Health, College of Natural Beauty, FIAFitnation",Australian College of Natural Medicine Pty Ltd,Private,www.endeavour.edu.au,,,,,,,,,,,,,,
00233E,Griffith University,Griffith University,Government,www.griffith.edu.au,,,,,,,,,,,,,,
00244B,University of Southern Queensland,University of Southern Queensland,Government,http://www.usq.edu.au/study/international,,,,,,,,,,,,,,
00246M,"Think Education, APM College of Business and Communication, Australasian College of Natural Therapies, Billy Blue College of Design, Jansen Newman Institute, Southern School of Natural Therapies, William Blue College of Hospitality Management, Australian",Think: Colleges Pty Ltd,Private,www.think.edu.au,,,,,,,,,,,,,,
00279B,Edith Cowan University,Edith Cowan University,Government,www.ecu.edu.au,,,,,,,,,,,,,,
00301J,Curtin University,Curtin University,Government,www.curtin.edu.au,,,,,,,,,,,,,,
00322D,Melbourne Girls Grammar,Melbourne Girls Grammar - An Anglican School,Private,www.mggs.vic.edu.au,,,,,,,,,,,,,,
00324B,Mentone Girls Grammar School,Mentone Girls Grammar School,Private,www.mentonegirls.vic.edu.au,,,,,,,,,,,,,,
00325A,Methodist Ladies College,Methodist Ladies' College Limited,Private,www.mlc.vic.edu.au,,,,,,,,,,,,,,
00331C,Oxley Christian College,Life Ministry Centre Limited,Private,www.oxley.vic.edu.au,,,,,,,,,,,,,,
00333A,Peninsula Grammar,The Peninsula School,Private,www.tps.vic.edu.au,,,,,,,,,,,,,,
00334M,Presbyterian Ladies' College,Presbyterian Ladies' College,Private,www.plc.vic.edu.au,,,,,,,,,,,,,,
00340B,Gippsland Grammar School,Gippsland Grammar,Private,www.gippslandgs.vic.edu.au,,,,,,,,,,,,,,
00341A,King's Christian College,King's Christian Education Ltd.,Private,www.kingscollege.qld.edu.au,,,,,,,,,,,,,,
00343K,St Leonard's College,St Leonard's College,Private,www.stleonards.vic.edu.au,,,,,,,,,,,,,,
00344J,St Margaret's Berwick Grammar,St Margaret's School,Private,www.stmargarets.vic.edu.au,,,,,,,,,,,,,,
00345G,St Michael's Grammar,St Michael's Grammar School,Private,www.stmichaels.vic.edu.au,,,,,,,,,,,,,,
00348E,Tintern Grammar,Tintern Grammar,Private,www.tintern.vic.edu.au,,,,,,,,,,,,,,
00349D,Toorak College,Toorak College,Private,www.toorakcollege.vic.edu.au,,,,,,,,,,,,,,
00350M,Trinity Grammar School,Trinity Grammar School Kew,Private,www.trinity.vic.edu.au,,,,,,,,,,,,,,
00354G,Wesley College Melbourne,Wesley College Melbourne,Private,www.wesleycollege.edu.au/,,,,,,,,,,,,,,
00355F,Westbourne Grammar School,Westbourne Grammar School,Private,www.westbournegrammar.com,,,,,,,,,,,,,,
00356E,Yarra Valley Grammar,Yarra Valley Grammar School,Private,www.yvg.vic.edu.au,,,,,,,,,,,,,,
00360J,Concordia College,Concordia College Inc,Private,www.concordia.sa.edu.au,,,,,,,,,,,,,,
00362G,NULL,Immanuel College,Private,www.immanuel.sa.edu.au,,,,,,,,,,,,,,
00365D,NULL,Mercedes College Springfield,Private,www.mercedes.catholic.edu.au,,,,,,,,,,,,,,
00366C,Muirden Senior College,Muirden Senior Secondary College,Private,www.muirden.sa.edu.au,,,,,,,,,,,,,,
00367B,Pembroke School Inc,Pembroke School Inc,Private,www.pembroke.sa.edu.au,,,,,,,,,,,,,,
00368A,NULL,Prince Alfred College Inc,Private,https://pac.edu.au/,,,,,,,,,,,,,,
00369M,NULL,Pulteney Grammar School,Private,NULL,,,,,,,,,,,,,,
00371F,NULL,St Aloysius College,Private,www.sac.sa.edu.au,,,,,,,,,,,,,,
00373D,St Peter's Girls' School,St Peter's Collegiate Girls' School,Private,www.stpetersgirls.sa.edu.au,,,,,,,,,,,,,,
00374C,NULL,Trinity College - North,Private,NULL,,,,,,,,,,,,,,
00375B,Wilderness School Limited,Wilderness School,Private,www.wilderness.com.au,,,,,,,,,,,,,,
00379J,St Paul's International College,St Paul's International College,Private,www.spic.nsw.edu.au,,,,,,,,,,,,,,
00380E,Ascham School,Ascham School Ltd,Private,www.ascham.nsw.edu.au,,,,,,,,,,,,,,
00382C,Georges River Grammar,Georges River Grammar School Ltd,Private,https://grg.nsw.edu.au/,,,,,,,,,,,,,,
00399E,Knox Grammar School,Knox Grammar School,Private,www.knox.nsw.edu.au,,,,,,,,,,,,,,
00401E,Masada College,Masada College,Private,www.masada.nsw.edu.au,,,,,,,,,,,,,,
00415K,Redeemer Baptist School,Redeemer Baptist School Ltd,Private,www.redeemer.nsw.edu.au,,,,,,,,,,,,,,
00428E,Aquinas College,Edmund Rice Education Australia Colleges Ltd,Private,www.aquinas.wa.edu.au,,,,,,,,,,,,,,
