cricos_provider_code,trading_name,institution_name,institution_type,website,,,,,,,,,,,,,,
03939B,Massey College,Massey College Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03943F,The Australian Chiropractic College,Australian Chiropractic College Limited,Private,www.acc.sa.edu.au,,,,,,,,,,,,,,
03946C,PENFOLD COLLEGE,Penfold College Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03949M,NULL,Riverdale Institute Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03954C,NULL,Australian Health and Horticulture Institute Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03955B,NULL,Wisdom International College Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03957M,NULL,Starford College Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03958K,NULL,Aim Institute Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03961D,Brilliant Institute of Business and Education,J&L Consultancy Pty Ltd,Private,bibe.tas.edu.au,,,,,,,,,,,,,,
03962C,Swanston Institute,Prospect Education Group Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03964A,NULL,ADVANCE INSTITUTE AUSTRALIA PTY LTD,Private,NULL,,,,,,,,,,,,,,
03966K,Novus Education,NOVUS EDUCATION PTY LTD,Private,NULL,,,,,,,,,,,,,,
03970C,Concord Institute,ADELAIDE EDUCATION AND TRAINING PTY LTD,Private,NULL,,,,,,,,,,,,,,
03972A,NULL,Australian Prime Education and Training Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03976H,MELBOURNE INSTITUTE OF TRAINING AND EDUCATION,Easy Buy Products Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03980A,Federation Academy,FEDERATION ACADEMY AUSTRALIA PTY LTD,Private,NULL,,,,,,,,,,,,,,
03981M,AUSTRALIAN LEADING INSTITUTE OF TECHNOLOGY,ALIT EDUCATION GROUP PTY. LTD.,Private,NULL,,,,,,,,,,,,,,
03983J,NULL,AUSTRALIAN INSTITUTE OF DIGITAL TECHNOLOGY PTY LTD,Private,https://aidt.edu.au/,,,,,,,,,,,,,,
03985G,NULL,Australian International College of Skills & Education Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04004H,NULL,Innovative College Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04008D,NULL,Australian College of Vocational Education and Training Pty Ltd,Private,https://www.acvet.edu.au/,,,,,,,,,,,,,,
04009C,National Academy of Professional Studies,National Academy of Professional Studies Pty Ltd,Private,www.naps.edu.au,,,,,,,,,,,,,,
04011J,NULL,United Institute Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04012H,Edunex Training,Edunex Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04015E,NULL,Ivory Education Group Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04023E,Australian Virtus Institute,Australian Virtus Institute Pty Ltd,Private,www.avi.edu.au,,,,,,,,,,,,,,
04024D,NULL,Harvard International College Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04027A,NULL,Australian Educare College Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04030F,NULL,AUIPT GROUP PTY LTD,Private,NULL,,,,,,,,,,,,,,
04034B,NULL,Australian Vocational Training Academy Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04036M,NULL,Kingsford Education Group Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04044M,NULL,Vigil International College Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04046J,Allied Institute,Pace Business College Pty Ltd,Private,www.allied.edu.au,,,,,,,,,,,,,,
04050B,"Solis College, Athena College Australia",ABBI Educational Services Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04051A,Capstone Institute of Australia,The Ballarat Academy Pty Ltd,Private,www.capstone.edu.au,,,,,,,,,,,,,,
04055H,NULL,Auscare Staffing Agency Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04057F,Anderson College,SECURITY COLLEGE OF AUSTRALIA Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04058E,NULL,Alma Mater College Australia Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04060M,Greenwood Academy of Animal Care and Agriculture,Enlighten Talent Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04063H,Ming-De International School,Ming-De International School Toowoomba Inc,Private,www.ming-de.qld.edu.au,,,,,,,,,,,,,,
04067D,NULL,WHITEHOUSE INTERNATIONAL COLLEGE PTY LTD,Private,NULL,,,,,,,,,,,,,,
04069B,NULL,College of Nursing Education & Training Australia Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04070J,NULL,Southern Institute of Early Learning and Leadership Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04071H,NULL,D P TRAINING PTY LTD,Private,NULL,,,,,,,,,,,,,,
04074E,Invicta Technical College,Australian Professional Training Academy Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04076C,NULL,Avalon College Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04079M,NULL,Thames International College Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04084C,Concordia College - St Peters Campus Blackwood,Concordia College - St Peters Campus Blackwood,Private,NULL,,,,,,,,,,,,,,
04087M,NULL,ELITE COLLEGE OF ENGLISH,Private,NULL,,,,,,,,,,,,,,
04097J,Lincoln Education Australia,Lincoln Institute of Higher Education Ltd,Private,lincolnau.nsw.edu.au,,,,,,,,,,,,,,
04100H,NULL,A GRADE EDUCATION AND TRAINING PTY LIMITED,Private,NULL,,,,,,,,,,,,,,
04101G,Dynamic Training Services,Dynamic Training Services Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04106B,States College Australia,States College Australia Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04109K,EUREKA INSTITUTE OF MANAGEMENT,Sharma Education Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04110F,NULL,Australian Business Training Institute Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04111E,Universal Training Institute,Universal Training Institute Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04112D,Elizabeth Institute of Australia,Sunbright Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04113C,Silverline College,Silverline College Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04123A,Austin Institute of Trades,Austin Institute of Trades Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04128G,NULL,Rural Medical Education Australia Limited,Private,NULL,,,,,,,,,,,,,,
04133K,Hillshire International College,Hillshire Investment Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04136G,VIITE,VIITE Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04137F,Australian Childcare Academy,Australian Higher Education Academy Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04144G,Global College of Management,Management Institute of Australia Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04149B,NULL,Infinity Business College Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04156C,Australis Vocational College Pty Ltd,Australis Vocational College Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04174A,Dynamite Studios Academy,Dynamite Management Australia Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04175M,Apex Training Institute,Learner Centre Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04178H,Ausford College,B&P Education Pty Ltd,Private,www.ausfordcollege.edu.au,,,,,,,,,,,,,,
04184K,Unified WA,Unified WA Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04185J,NULL,Making Education Pty Ltd AFT Making Education Trust,Private,NULL,,,,,,,,,,,,,,
04186H,Clarence Valley Anglican School,Clarence Valley Anglican School Council Inc,Private,NULL,,,,,,,,,,,,,,
04188F,My Skills Australia,P & J WADE PTY. LIMITED,Private,myskillsaustralia.edu.au,,,,,,,,,,,,,,
04189E,Fusion College of Technology Pty Ltd,Fusion College of Technology Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04190A,Aimers College of Education,Genesis Education and Training Pty Ltd,Private,www.aimerscollege.edu.au,,,,,,,,,,,,,,
04193J,Howland Academy of Australia,JH HOWLAND GROUP PTY LTD,Private,NULL,,,,,,,,,,,,,,
04194H,NULL,Edinburgh Institute Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04203A,Australian Institute of Tertiary Education,TUT Training College Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04213K,NULL,AUCTUS Consulting Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04223H,Australian Nursing and Training Services,AUSTRALIAN NURSING AND TRAINING SERVICES PTY LTD,Private,NULL,,,,,,,,,,,,,,
04233F,Global Institute of Health Sciences Pty Ltd,Global Institute of Health Sciences Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04248K,NULL,Australian Dance Institute Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04249J,NULL,Adelaide University,Government,NULL,,,,,,,,,,,,,,
04255M,Opal College,Opal Education Group Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04257J,ONEPATH COLLEGE,G5 BROTHERS PTY LTD,Private,NULL,,,,,,,,,,,,,,
04258H,Melvic College Australia,Melvic College Australia Pty Ltd,Private,www.melvic.com.au,,,,,,,,,,,,,,
04267G,NULL,International Apex Institute Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04268F,NULL,Reliable College of Nursing Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04271M,NULL,BCA Education Group Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04273J,NULL,Australian College of Technical Studies Pty. Ltd.,Private,https://actstudies.edu.au/,,,,,,,,,,,,,,
04274H,NULL,Study of Australian Technologies and Healthcare Education Pty Ltd,Private,www.satheducation.com.au,,,,,,,,,,,,,,
04278D,NULL,CW EDUCATION GROUP PTY LTD,Private,NULL,,,,,,,,,,,,,,
04282H,Sterling Australia,Sterling International Training and Education Pty Ltd,Private,www.sterlinginternational.com.au,,,,,,,,,,,,,,
04285E,NULL,Grampians College Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04289A,"Australis Business School, Australis Research School, Australis Education School, Australis Health School",Australian School of Business Pty Ltd,Private,www.australis.vic.edu.au,,,,,,,,,,,,,,
04297A,Lakewood Institute,AIdrones Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04298M,AICE Pty Ltd,AICE Pty Ltd,Private,https://www.aice.edu.au/,,,,,,,,,,,,,,
04305F,Vocational Augment Training,Vocational Augment Pty Ltd,Private,http://www.vat.vic.edu.au/,,,,,,,,,,,,,,
04308C,Sage College of Australlia,Sage College of Australia Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04313F,Siena College,Siena College Limited,Private,http://www.siena.vic.edu.au,,,,,,,,,,,,,,
04318A,"Sydney Islamic College, UMA College",UMA Education Solutions Ltd,Private,https://uma.edu.au/,,,,,,,,,,,,,,
04334A,Montford International College,Montford Group Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04337J,AICHM,Australian Institute of Community and Health Management Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04342A,Lead Institute of Higher Education,Education and Career Hub Pty Ltd,Private,www.lihe.edu.au,,,,,,,,,,,,,,
04346H,NULL,Hampton College Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04354H,Victorian Skillls College,Victorian Skills College Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04359C,NULL,Imperial Institute QLD Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04362H,Risen Star College of Technology & Business Pty Ltd,Risen Star College of Technology & Business Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04363G,Enhance Training,Hessel Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04364F,NULL,Early Education Institute Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04366D,Sacre Coeur,Sacre Coeur,Private,https://sacrecoeur.vic.edu.au/,,,,,,,,,,,,,,
04368B,NULL,National Diversity Institute of Australia Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04375C,Laurus Higher Education,Laurus Higher Education Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04376B,NULL,INSTITUTE OF MANAGEMENT LEARNING PTY LTD,Private,NULL,,,,,,,,,,,,,,
04377A,Aroha College,Aroha College Pty Ltd,Private,www.arohacollege.com.au,,,,,,,,,,,,,,
04378M,NULL,Greenhouse Education Pty Ltd,Private,www.greenhouseeducation.com,,,,,,,,,,,,,,
04382D,NULL,Inventive Institute Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04393A,NULL,Sydney Global Institute Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04403D,IBC Education,International Business College Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04406A,Aurora Training Institute,Aurora Training Institute Pty Ltd,Private,NULL,,,,,,,,,,,,,,
03809A,Canterbury Institute of management (CIM),Australian Campus Management Pty Ltd,Private,www.ciom.edu.au,,,,,,,,,,,,,,
04234E,City College Pty Ltd,City College Pty Ltd,Private,https://www.citycollege.edu.au/,,,,,,,,,,,,,,
03677G,"Sea English Academy International Pty Ltd, Australian Institute of Science and Technology",Sea English Academy International Pty Ltd,Private,NULL,,,,,,,,,,,,,,
04086A,Oban College,Oban College Pty Ltd,Private,www.oban.edu.au,,,,,,,,,,,,,,
03610E,NULL,Australia Institute of Business & Technology - International Pty Ltd,Private,NULL,,,,,,,,,,,,,,
