111382B	Bachelor of Surveying (Honours)/Bachelor of Business
111383A	Bachelor of Criminology (Honours)
111384M	Bachelor of Tourism, Hospitality and Events
111462B	Bachelor of Civil Engineering (Honours)/Bachelor of Business
113050F	Degree Transfer Design (Architecture)
113051E	Degree Transfer Extended Design (Architecture)
113052D	Degree Transfer Extended Construction Management (Building)
113053C	Bachelor of Media and Communication
113054B	Bachelor of Media and Communication (Honours)
113055A	Bachelor of Media and Communication/Bachelor of Laws (Honours)
113056M	Bachelor of Psychological Science/Bachelor of Media and Communication
113057K	Bachelor of Development Studies/Bachelor of Media and Communication
113058J	Degree Transfer Construction Management (Building)
113390H	Express Preparation Program
113784A	Master of Public Health/Master of Social Change and Development
113785M	Master of Public Health/Master of Health Economics, Management and Policy
113786K	Graduate Certificate in Disaster Risk and Resilience
113848A	Master of Professional Engineering (Civil)
113849M	Master of Professional Engineering (Electrical and Electronic)
113850G	Master of Professional Engineering (Mechanical)
114390M	Juris Doctor
114391K	Degree Transfer Media and Communication
114397D	Degree Transfer Extended Media and Communication
115099F	Master of Construction Management (Professional)
115617M	Master of Disaster Risk and Resilience
116126M	Bachelor of Podiatric Medicine (Honours)
116127K	Bachelor of Podiatric Medicine
116244E	Bachelor of Medical Radiation Science (Honours)(Radiation Therapy)
116294F	Master of Laboratory Medicine
116295E	Graduate Diploma in Laboratory Medicine
116296D	Graduate Certificate in Laboratory Medicine
116512A	Master of Data Science and Artificial Intelligence
116621G	Graduate Certificate in Nutrition
116622F	Graduate Certificate in Human and Social Services
116623E	Master of Social Work (Qualifying)
116624D	Bachelor of Business/Bachelor of Media and Communication
117034G	Doctor of Philosophy (Low Cost)
117035F	Doctor of Philosophy (High Cost)
117036E	Master of Philosophy (Low Cost)
117037D	Master of Philosophy (High Cost)
117170K	Graduate Certificate in Marketing and Digital Strategy
117171J	Master of Marketing and Digital Strategy
117172H	Master of Business Administration/Master of Marketing and Digital Strategy
117173G	Graduate Certificate in Digital Finance
117174F	Master of Digital Finance
117175E	Master of Business Administration/Master of Digital Finance
117503E	Doctor of Philosophy (Research) by Prior Publication (High Cost)
117504D	Doctor of Philosophy (Research) by Prior Publication (Low Cost)
117629B	Graduate Certificate in Sports Analytics
117630J	Master of Sports Analytics
117631H	Master of International Sports Business
117632G	Master of International Sports Business/Master of Sports Analytics
